Product Type,Product Name,Texture,Color,Width,Length,Thickness,Exposure,HardieZone,SKU,URL,Warranty Substrate,Warranty Finish,Fire Rating,Review Count,Rating
HardiePlank Lap Siding,"HardiePlank Select Cedarmill 5-1/4"" in Aged Pewter",Select Cedarmill,Aged Pewter,5-1/4,"144""","0.3125""","4.0""",HZ5,JH-HARD-CED-AGE-51/4,/products/james-hardie/hardieplank/select-cedarmill/5-1/4/aged-pewter,30 years,15 years,Class A,250,4.8
HardiePlank Lap Siding,"HardiePlank Select Cedarmill 5-1/4"" in Iron Gray",Select Cedarmill,Iron Gray,5-1/4,"144""","0.3125""","4.0""",HZ5,JH-HARD-CED-IRO-51/4,/products/james-hardie/hardieplank/select-cedarmill/5-1/4/iron-gray,30 years,15 years,Class A,250,4.8
HardiePlank Lap Siding,"HardiePlank Select Cedarmill 5-1/4"" in Mountain Sage",Select Cedarmill,Mountain Sage,5-1/4,"144""","0.3125""","4.0""",HZ5,JH-HARD-CED-MOU-51/4,/products/james-hardie/hardieplank/select-cedarmill/5-1/4/mountain-sage,30 years,15 years,Class A,250,4.8
HardiePlank Lap Siding,"HardiePlank Beaded 5-1/4"" in Arctic White",Beaded,Arctic White,5-1/4,"144""","0.3125""","4.0""",HZ5,JH-HARD-BEA-ARC-51/4,/products/james-hardie/hardieplank/beaded/5-1/4/arctic-white,30 years,15 years,Class A,180,4.8
HardiePlank Lap Siding,"HardiePlank Beaded 5-1/4"" in Cobble Stone",Beaded,Cobble Stone,5-1/4,"144""","0.3125""","4.0""",HZ5,JH-HARD-BEA-COB-51/4,/products/james-hardie/hardieplank/beaded/5-1/4/cobble-stone,30 years,15 years,Class A,180,4.8
HardiePlank Lap Siding,"HardiePlank Beaded 5-1/4"" in Navajo Beige",Beaded,Navajo Beige,5-1/4,"144""","0.3125""","4.0""",HZ5,JH-HARD-BEA-NAV-51/4,/products/james-hardie/hardieplank/beaded/5-1/4/navajo-beige,30 years,15 years,Class A,180,4.8
HardiePlank Lap Siding,"HardiePlank Beaded 5-1/4"" in Monterey Taupe",Beaded,Monterey Taupe,5-1/4,"144""","0.3125""","4.0""",HZ5,JH-HARD-BEA-MON-51/4,/products/james-hardie/hardieplank/beaded/5-1/4/monterey-taupe,30 years,15 years,Class A,180,4.8
HardiePlank Lap Siding,"HardiePlank Beaded 5-1/4"" in Khaki Brown",Beaded,Khaki Brown,5-1/4,"144""","0.3125""","4.0""",HZ5,JH-HARD-BEA-KHA-51/4,/products/james-hardie/hardieplank/beaded/5-1/4/khaki-brown,30 years,15 years,Class A,180,4.8
HardiePlank Lap Siding,"HardiePlank Beaded 5-1/4"" in Timber Bark",Beaded,Timber Bark,5-1/4,"144""","0.3125""","4.0""",HZ5,JH-HARD-BEA-TIM-51/4,/products/james-hardie/hardieplank/beaded/5-1/4/timber-bark,30 years,15 years,Class A,180,4.8
HardiePlank Lap Siding,"HardiePlank Beaded 5-1/4"" in Pearl Gray",Beaded,Pearl Gray,5-1/4,"144""","0.3125""","4.0""",HZ5,JH-HARD-BEA-PEA-51/4,/products/james-hardie/hardieplank/beaded/5-1/4/pearl-gray,30 years,15 years,Class A,180,4.8
HardiePlank Lap Siding,"HardiePlank Beaded 5-1/4"" in Light Mist",Beaded,Light Mist,5-1/4,"144""","0.3125""","4.0""",HZ5,JH-HARD-BEA-LIG-51/4,/products/james-hardie/hardieplank/beaded/5-1/4/light-mist,30 years,15 years,Class A,180,4.8
HardiePlank Lap Siding,"HardiePlank Beaded 5-1/4"" in Gray Slate",Beaded,Gray Slate,5-1/4,"144""","0.3125""","4.0""",HZ5,JH-HARD-BEA-GRA-51/4,/products/james-hardie/hardieplank/beaded/5-1/4/gray-slate,30 years,15 years,Class A,180,4.8
HardiePlank Lap Siding,"HardiePlank Beaded 5-1/4"" in Night Gray",Beaded,Night Gray,5-1/4,"144""","0.3125""","4.0""",HZ5,JH-HARD-BEA-NIG-51/4,/products/james-hardie/hardieplank/beaded/5-1/4/night-gray,30 years,15 years,Class A,180,4.8
HardiePlank Lap Siding,"HardiePlank Beaded 5-1/4"" in Boothbay Blue",Beaded,Boothbay Blue,5-1/4,"144""","0.3125""","4.0""",HZ5,JH-HARD-BEA-BOO-51/4,/products/james-hardie/hardieplank/beaded/5-1/4/boothbay-blue,30 years,15 years,Class A,180,4.8
HardiePlank Lap Siding,"HardiePlank Beaded 5-1/4"" in Evening Blue",Beaded,Evening Blue,5-1/4,"144""","0.3125""","4.0""",HZ5,JH-HARD-BEA-EVE-51/4,/products/james-hardie/hardieplank/beaded/5-1/4/evening-blue,30 years,15 years,Class A,180,4.8
HardiePlank Lap Siding,"HardiePlank Beaded 5-1/4"" in Aged Pewter",Beaded,Aged Pewter,5-1/4,"144""","0.3125""","4.0""",HZ5,JH-HARD-BEA-AGE-51/4,/products/james-hardie/hardieplank/beaded/5-1/4/aged-pewter,30 years,15 years,Class A,180,4.8
HardiePlank Lap Siding,"HardiePlank Beaded 5-1/4"" in Iron Gray",Beaded,Iron Gray,5-1/4,"144""","0.3125""","4.0""",HZ5,JH-HARD-BEA-IRO-51/4,/products/james-hardie/hardieplank/beaded/5-1/4/iron-gray,30 years,15 years,Class A,180,4.8
HardiePlank Lap Siding,"HardiePlank Beaded 5-1/4"" in Mountain Sage",Beaded,Mountain Sage,5-1/4,"144""","0.3125""","4.0""",HZ5,JH-HARD-BEA-MOU-51/4,/products/james-hardie/hardieplank/beaded/5-1/4/mountain-sage,30 years,15 years,Class A,180,4.8
HardiePlank Lap Siding,"HardiePlank Colonial Roughsawn 5-1/4"" in Arctic White",Colonial Roughsawn,Arctic White,5-1/4,"144""","0.3125""","4.0""",HZ5,JH-HARD-ROU-ARC-51/4,/products/james-hardie/hardieplank/colonial-roughsawn/5-1/4/arctic-white,30 years,15 years,Class A,180,4.8
HardiePlank Lap Siding,"HardiePlank Colonial Roughsawn 5-1/4"" in Cobble Stone",Colonial Roughsawn,Cobble Stone,5-1/4,"144""","0.3125""","4.0""",HZ5,JH-HARD-ROU-COB-51/4,/products/james-hardie/hardieplank/colonial-roughsawn/5-1/4/cobble-stone,30 years,15 years,Class A,180,4.8
HardiePlank Lap Siding,"HardiePlank Colonial Roughsawn 5-1/4"" in Navajo Beige",Colonial Roughsawn,Navajo Beige,5-1/4,"144""","0.3125""","4.0""",HZ5,JH-HARD-ROU-NAV-51/4,/products/james-hardie/hardieplank/colonial-roughsawn/5-1/4/navajo-beige,30 years,15 years,Class A,180,4.8
HardiePlank Lap Siding,"HardiePlank Colonial Roughsawn 5-1/4"" in Monterey Taupe",Colonial Roughsawn,Monterey Taupe,5-1/4,"144""","0.3125""","4.0""",HZ5,JH-HARD-ROU-MON-51/4,/products/james-hardie/hardieplank/colonial-roughsawn/5-1/4/monterey-taupe,30 years,15 years,Class A,180,4.8
HardiePlank Lap Siding,"HardiePlank Colonial Roughsawn 5-1/4"" in Khaki Brown",Colonial Roughsawn,Khaki Brown,5-1/4,"144""","0.3125""","4.0""",HZ5,JH-HARD-ROU-KHA-51/4,/products/james-hardie/hardieplank/colonial-roughsawn/5-1/4/khaki-brown,30 years,15 years,Class A,180,4.8
HardiePlank Lap Siding,"HardiePlank Colonial Roughsawn 5-1/4"" in Timber Bark",Colonial Roughsawn,Timber Bark,5-1/4,"144""","0.3125""","4.0""",HZ5,JH-HARD-ROU-TIM-51/4,/products/james-hardie/hardieplank/colonial-roughsawn/5-1/4/timber-bark,30 years,15 years,Class A,180,4.8
HardiePlank Lap Siding,"HardiePlank Colonial Roughsawn 5-1/4"" in Pearl Gray",Colonial Roughsawn,Pearl Gray,5-1/4,"144""","0.3125""","4.0""",HZ5,JH-HARD-ROU-PEA-51/4,/products/james-hardie/hardieplank/colonial-roughsawn/5-1/4/pearl-gray,30 years,15 years,Class A,180,4.8
HardiePlank Lap Siding,"HardiePlank Colonial Roughsawn 5-1/4"" in Light Mist",Colonial Roughsawn,Light Mist,5-1/4,"144""","0.3125""","4.0""",HZ5,JH-HARD-ROU-LIG-51/4,/products/james-hardie/hardieplank/colonial-roughsawn/5-1/4/light-mist,30 years,15 years,Class A,180,4.8
HardiePlank Lap Siding,"HardiePlank Colonial Roughsawn 5-1/4"" in Gray Slate",Colonial Roughsawn,Gray Slate,5-1/4,"144""","0.3125""","4.0""",HZ5,JH-HARD-ROU-GRA-51/4,/products/james-hardie/hardieplank/colonial-roughsawn/5-1/4/gray-slate,30 years,15 years,Class A,180,4.8
HardiePlank Lap Siding,"HardiePlank Colonial Roughsawn 5-1/4"" in Night Gray",Colonial Roughsawn,Night Gray,5-1/4,"144""","0.3125""","4.0""",HZ5,JH-HARD-ROU-NIG-51/4,/products/james-hardie/hardieplank/colonial-roughsawn/5-1/4/night-gray,30 years,15 years,Class A,180,4.8
HardiePlank Lap Siding,"HardiePlank Colonial Roughsawn 5-1/4"" in Boothbay Blue",Colonial Roughsawn,Boothbay Blue,5-1/4,"144""","0.3125""","4.0""",HZ5,JH-HARD-ROU-BOO-51/4,/products/james-hardie/hardieplank/colonial-roughsawn/5-1/4/boothbay-blue,30 years,15 years,Class A,180,4.8
HardiePlank Lap Siding,"HardiePlank Colonial Roughsawn 5-1/4"" in Evening Blue",Colonial Roughsawn,Evening Blue,5-1/4,"144""","0.3125""","4.0""",HZ5,JH-HARD-ROU-EVE-51/4,/products/james-hardie/hardieplank/colonial-roughsawn/5-1/4/evening-blue,30 years,15 years,Class A,180,4.8
HardiePlank Lap Siding,"HardiePlank Colonial Roughsawn 5-1/4"" in Aged Pewter",Colonial Roughsawn,Aged Pewter,5-1/4,"144""","0.3125""","4.0""",HZ5,JH-HARD-ROU-AGE-51/4,/products/james-hardie/hardieplank/colonial-roughsawn/5-1/4/aged-pewter,30 years,15 years,Class A,180,4.8
HardiePlank Lap Siding,"HardiePlank Colonial Roughsawn 5-1/4"" in Iron Gray",Colonial Roughsawn,Iron Gray,5-1/4,"144""","0.3125""","4.0""",HZ5,JH-HARD-ROU-IRO-51/4,/products/james-hardie/hardieplank/colonial-roughsawn/5-1/4/iron-gray,30 years,15 years,Class A,180,4.8
HardiePlank Lap Siding,"HardiePlank Colonial Roughsawn 5-1/4"" in Mountain Sage",Colonial Roughsawn,Mountain Sage,5-1/4,"144""","0.3125""","4.0""",HZ5,JH-HARD-ROU-MOU-51/4,/products/james-hardie/hardieplank/colonial-roughsawn/5-1/4/mountain-sage,30 years,15 years,Class A,180,4.8
HardiePlank Lap Siding,"HardiePlank Colonial Smooth 5-1/4"" in Arctic White",Colonial Smooth,Arctic White,5-1/4,"144""","0.3125""","4.0""",HZ5,JH-HARD-COL-ARC-51/4,/products/james-hardie/hardieplank/colonial-smooth/5-1/4/arctic-white,30 years,15 years,Class A,250,4.8
HardiePlank Lap Siding,"HardiePlank Colonial Smooth 5-1/4"" in Cobble Stone",Colonial Smooth,Cobble Stone,5-1/4,"144""","0.3125""","4.0""",HZ5,JH-HARD-COL-COB-51/4,/products/james-hardie/hardieplank/colonial-smooth/5-1/4/cobble-stone,30 years,15 years,Class A,250,4.8
HardiePlank Lap Siding,"HardiePlank Colonial Smooth 5-1/4"" in Navajo Beige",Colonial Smooth,Navajo Beige,5-1/4,"144""","0.3125""","4.0""",HZ5,JH-HARD-COL-NAV-51/4,/products/james-hardie/hardieplank/colonial-smooth/5-1/4/navajo-beige,30 years,15 years,Class A,250,4.8
HardiePlank Lap Siding,"HardiePlank Colonial Smooth 5-1/4"" in Monterey Taupe",Colonial Smooth,Monterey Taupe,5-1/4,"144""","0.3125""","4.0""",HZ5,JH-HARD-COL-MON-51/4,/products/james-hardie/hardieplank/colonial-smooth/5-1/4/monterey-taupe,30 years,15 years,Class A,250,4.8
HardiePlank Lap Siding,"HardiePlank Colonial Smooth 5-1/4"" in Khaki Brown",Colonial Smooth,Khaki Brown,5-1/4,"144""","0.3125""","4.0""",HZ5,JH-HARD-COL-KHA-51/4,/products/james-hardie/hardieplank/colonial-smooth/5-1/4/khaki-brown,30 years,15 years,Class A,250,4.8
HardiePlank Lap Siding,"HardiePlank Colonial Smooth 5-1/4"" in Timber Bark",Colonial Smooth,Timber Bark,5-1/4,"144""","0.3125""","4.0""",HZ5,JH-HARD-COL-TIM-51/4,/products/james-hardie/hardieplank/colonial-smooth/5-1/4/timber-bark,30 years,15 years,Class A,250,4.8
HardiePlank Lap Siding,"HardiePlank Colonial Smooth 5-1/4"" in Pearl Gray",Colonial Smooth,Pearl Gray,5-1/4,"144""","0.3125""","4.0""",HZ5,JH-HARD-COL-PEA-51/4,/products/james-hardie/hardieplank/colonial-smooth/5-1/4/pearl-gray,30 years,15 years,Class A,250,4.8
HardiePlank Lap Siding,"HardiePlank Colonial Smooth 5-1/4"" in Light Mist",Colonial Smooth,Light Mist,5-1/4,"144""","0.3125""","4.0""",HZ5,JH-HARD-COL-LIG-51/4,/products/james-hardie/hardieplank/colonial-smooth/5-1/4/light-mist,30 years,15 years,Class A,250,4.8
HardiePlank Lap Siding,"HardiePlank Colonial Smooth 5-1/4"" in Gray Slate",Colonial Smooth,Gray Slate,5-1/4,"144""","0.3125""","4.0""",HZ5,JH-HARD-COL-GRA-51/4,/products/james-hardie/hardieplank/colonial-smooth/5-1/4/gray-slate,30 years,15 years,Class A,250,4.8
HardiePlank Lap Siding,"HardiePlank Colonial Smooth 5-1/4"" in Night Gray",Colonial Smooth,Night Gray,5-1/4,"144""","0.3125""","4.0""",HZ5,JH-HARD-COL-NIG-51/4,/products/james-hardie/hardieplank/colonial-smooth/5-1/4/night-gray,30 years,15 years,Class A,250,4.8
HardiePlank Lap Siding,"HardiePlank Colonial Smooth 5-1/4"" in Boothbay Blue",Colonial Smooth,Boothbay Blue,5-1/4,"144""","0.3125""","4.0""",HZ5,JH-HARD-COL-BOO-51/4,/products/james-hardie/hardieplank/colonial-smooth/5-1/4/boothbay-blue,30 years,15 years,Class A,250,4.8
HardiePlank Lap Siding,"HardiePlank Colonial Smooth 5-1/4"" in Evening Blue",Colonial Smooth,Evening Blue,5-1/4,"144""","0.3125""","4.0""",HZ5,JH-HARD-COL-EVE-51/4,/products/james-hardie/hardieplank/colonial-smooth/5-1/4/evening-blue,30 years,15 years,Class A,250,4.8
HardiePlank Lap Siding,"HardiePlank Colonial Smooth 5-1/4"" in Aged Pewter",Colonial Smooth,Aged Pewter,5-1/4,"144""","0.3125""","4.0""",HZ5,JH-HARD-COL-AGE-51/4,/products/james-hardie/hardieplank/colonial-smooth/5-1/4/aged-pewter,30 years,15 years,Class A,250,4.8
HardiePlank Lap Siding,"HardiePlank Colonial Smooth 5-1/4"" in Iron Gray",Colonial Smooth,Iron Gray,5-1/4,"144""","0.3125""","4.0""",HZ5,JH-HARD-COL-IRO-51/4,/products/james-hardie/hardieplank/colonial-smooth/5-1/4/iron-gray,30 years,15 years,Class A,250,4.8
HardiePlank Lap Siding,"HardiePlank Colonial Smooth 5-1/4"" in Mountain Sage",Colonial Smooth,Mountain Sage,5-1/4,"144""","0.3125""","4.0""",HZ5,JH-HARD-COL-MOU-51/4,/products/james-hardie/hardieplank/colonial-smooth/5-1/4/mountain-sage,30 years,15 years,Class A,250,4.8
HardiePlank Lap Siding,"HardiePlank Rustic Cedar 5-1/4"" in Arctic White",Rustic Cedar,Arctic White,5-1/4,"144""","0.3125""","4.0""",HZ5,JH-HARD-RUS-ARC-51/4,/products/james-hardie/hardieplank/rustic-cedar/5-1/4/arctic-white,30 years,15 years,Class A,180,4.8
HardiePlank Lap Siding,"HardiePlank Rustic Cedar 5-1/4"" in Cobble Stone",Rustic Cedar,Cobble Stone,5-1/4,"144""","0.3125""","4.0""",HZ5,JH-HARD-RUS-COB-51/4,/products/james-hardie/hardieplank/rustic-cedar/5-1/4/cobble-stone,30 years,15 years,Class A,180,4.8
HardiePlank Lap Siding,"HardiePlank Rustic Cedar 5-1/4"" in Navajo Beige",Rustic Cedar,Navajo Beige,5-1/4,"144""","0.3125""","4.0""",HZ5,JH-HARD-RUS-NAV-51/4,/products/james-hardie/hardieplank/rustic-cedar/5-1/4/navajo-beige,30 years,15 years,Class A,180,4.8
HardiePlank Lap Siding,"HardiePlank Rustic Cedar 5-1/4"" in Monterey Taupe",Rustic Cedar,Monterey Taupe,5-1/4,"144""","0.3125""","4.0""",HZ5,JH-HARD-RUS-MON-51/4,/products/james-hardie/hardieplank/rustic-cedar/5-1/4/monterey-taupe,30 years,15 years,Class A,180,4.8
HardiePlank Lap Siding,"HardiePlank Rustic Cedar 5-1/4"" in Khaki Brown",Rustic Cedar,Khaki Brown,5-1/4,"144""","0.3125""","4.0""",HZ5,JH-HARD-RUS-KHA-51/4,/products/james-hardie/hardieplank/rustic-cedar/5-1/4/khaki-brown,30 years,15 years,Class A,180,4.8
HardiePlank Lap Siding,"HardiePlank Rustic Cedar 5-1/4"" in Timber Bark",Rustic Cedar,Timber Bark,5-1/4,"144""","0.3125""","4.0""",HZ5,JH-HARD-RUS-TIM-51/4,/products/james-hardie/hardieplank/rustic-cedar/5-1/4/timber-bark,30 years,15 years,Class A,180,4.8
HardiePlank Lap Siding,"HardiePlank Rustic Cedar 5-1/4"" in Pearl Gray",Rustic Cedar,Pearl Gray,5-1/4,"144""","0.3125""","4.0""",HZ5,JH-HARD-RUS-PEA-51/4,/products/james-hardie/hardieplank/rustic-cedar/5-1/4/pearl-gray,30 years,15 years,Class A,180,4.8
HardiePlank Lap Siding,"HardiePlank Rustic Cedar 5-1/4"" in Light Mist",Rustic Cedar,Light Mist,5-1/4,"144""","0.3125""","4.0""",HZ5,JH-HARD-RUS-LIG-51/4,/products/james-hardie/hardieplank/rustic-cedar/5-1/4/light-mist,30 years,15 years,Class A,180,4.8
HardiePlank Lap Siding,"HardiePlank Rustic Cedar 5-1/4"" in Gray Slate",Rustic Cedar,Gray Slate,5-1/4,"144""","0.3125""","4.0""",HZ5,JH-HARD-RUS-GRA-51/4,/products/james-hardie/hardieplank/rustic-cedar/5-1/4/gray-slate,30 years,15 years,Class A,180,4.8
HardiePlank Lap Siding,"HardiePlank Rustic Cedar 5-1/4"" in Night Gray",Rustic Cedar,Night Gray,5-1/4,"144""","0.3125""","4.0""",HZ5,JH-HARD-RUS-NIG-51/4,/products/james-hardie/hardieplank/rustic-cedar/5-1/4/night-gray,30 years,15 years,Class A,180,4.8
HardiePlank Lap Siding,"HardiePlank Rustic Cedar 5-1/4"" in Boothbay Blue",Rustic Cedar,Boothbay Blue,5-1/4,"144""","0.3125""","4.0""",HZ5,JH-HARD-RUS-BOO-51/4,/products/james-hardie/hardieplank/rustic-cedar/5-1/4/boothbay-blue,30 years,15 years,Class A,180,4.8
HardiePlank Lap Siding,"HardiePlank Rustic Cedar 5-1/4"" in Evening Blue",Rustic Cedar,Evening Blue,5-1/4,"144""","0.3125""","4.0""",HZ5,JH-HARD-RUS-EVE-51/4,/products/james-hardie/hardieplank/rustic-cedar/5-1/4/evening-blue,30 years,15 years,Class A,180,4.8
HardiePlank Lap Siding,"HardiePlank Rustic Cedar 5-1/4"" in Aged Pewter",Rustic Cedar,Aged Pewter,5-1/4,"144""","0.3125""","4.0""",HZ5,JH-HARD-RUS-AGE-51/4,/products/james-hardie/hardieplank/rustic-cedar/5-1/4/aged-pewter,30 years,15 years,Class A,180,4.8
